[08-01 15:51:24] === OCR 批次启动 ===
[08-01 15:51:25] === DRG支付2025 (0/154 done, 154 remaining) ===
[08-01 15:51:25]   [1/154] p0000...
[08-01 15:52:02]   [2/154] p0001...
[08-01 15:52:29]   [3/154] p0002...
[08-01 20:34:21] === OCR 批次启动（小文件优先） ===
[08-01 20:34:21] 预估总耗时: 19.8 小时
[08-01 20:34:22] === 稽查8 (0/118 done, 118 left, ~79min) ===
[08-01 20:35:11]   [1/118] p0000 OK (475 chars)
[08-01 20:35:39]   [2/118] p0001 OK (541 chars)
[08-01 20:36:13]   [3/118] p0002 OK (419 chars)
[08-01 20:36:34]   [4/118] p0003 OK (436 chars)
[08-01 20:36:55]   [5/118] p0004 OK (421 chars)
[08-01 21:09:31] === OCR 批次启动（小文件优先） ===
[08-01 21:09:31] 预估总耗时: 19.8 小时
[08-01 21:09:32] === 稽查8 (6/118 done, 112 left, ~75min) ===
[08-01 21:10:47]   [7/118] p0006 OK (481 chars)
[08-01 21:11:42]   [8/118] p0007 OK (507 chars)
[08-01 21:12:10]   [9/118] p0008 OK (510 chars)
[08-01 21:14:01]   [10/118] p0009 OK (619 chars)
[08-01 21:17:04]   p0010 ERR(attempt 1/3): Request timed out.
[08-01 21:20:26]   p0010 ERR(attempt 2/3): Request timed out.
[08-01 21:24:07]   p0010 ERR(attempt 3/3): Request timed out.
[08-01 21:25:07]   p0010 SKIP (3 fails)
[08-01 21:26:12]   [11/118] p0011 OK (508 chars)
[08-01 21:27:11]   [12/118] p0012 OK (564 chars)
[08-01 21:30:15]   p0013 ERR(attempt 1/3): Request timed out.
[08-01 21:33:36]   p0013 ERR(attempt 2/3): Request timed out.
[08-01 21:37:19]   p0013 ERR(attempt 3/3): Request timed out.
[08-01 21:38:19]   p0013 SKIP (3 fails)
[08-01 21:40:16]   [13/118] p0014 OK (846 chars)
[08-01 21:40:57]   [14/118] p0015 OK (512 chars)
[08-01 21:41:46]   [15/118] p0016 OK (603 chars)
[08-01 21:42:35]   [16/118] p0017 OK (503 chars)
[08-01 21:43:37]   [17/118] p0018 OK (576 chars)
[08-01 21:44:56]   [18/118] p0019 OK (454 chars)
[08-01 21:46:44]   [19/118] p0020 OK (859 chars)
[08-01 21:47:33]   [20/118] p0021 OK (328 chars)
[08-01 21:48:58]   [21/118] p0022 OK (199 chars)
[08-01 21:50:11]   [22/118] p0023 OK (329 chars)
[08-01 21:51:43]   [23/118] p0024 OK (222 chars)
[08-01 21:52:41]   [24/118] p0025 OK (326 chars)
[08-01 21:53:23]   [25/118] p0026 OK (509 chars)
[08-01 21:55:16]   [26/118] p0027 OK (1933 chars)
[08-01 21:57:42]   [27/118] p0028 OK (340 chars)
[08-01 21:58:46]   [28/118] p0029 OK (318 chars)
[08-01 22:00:31]   [29/118] p0030 OK (346 chars)
[08-01 22:02:10]   [30/118] p0031 OK (343 chars)
[08-01 22:03:28]   [31/118] p0032 OK (314 chars)
[08-01 22:04:41]   [32/118] p0033 OK (310 chars)
[08-01 22:06:34]   [33/118] p0034 OK (316 chars)
[08-01 22:08:04]   [34/118] p0035 OK (363 chars)
[08-01 22:09:11]   [35/118] p0036 OK (301 chars)
[08-01 22:10:18]   [36/118] p0037 OK (324 chars)
[08-01 22:11:19]   [37/118] p0038 OK (364 chars)
[08-01 22:12:48]   [38/118] p0039 OK (380 chars)
[08-01 22:13:47]   [39/118] p0040 OK (363 chars)
[08-01 22:15:29]   [40/118] p0041 OK (350 chars)
[08-01 22:16:33]   [41/118] p0042 OK (312 chars)
[08-01 22:18:39]   [42/118] p0043 OK (362 chars)
[08-01 22:20:26]   [43/118] p0044 OK (356 chars)
[08-01 22:21:41]   [44/118] p0045 OK (362 chars)
[08-01 22:23:29]   [45/118] p0046 OK (358 chars)
[08-01 22:24:58]   [46/118] p0047 OK (343 chars)
[08-01 22:26:39]   [47/118] p0048 OK (339 chars)
[08-01 22:28:05]   [48/118] p0049 OK (280 chars)
[08-01 22:29:46]   [49/118] p0050 OK (327 chars)
[08-01 22:30:40]   [50/118] p0051 OK (355 chars)
[08-01 22:31:44]   [51/118] p0052 OK (361 chars)
[08-01 22:33:32]   [52/118] p0053 OK (361 chars)
[08-01 22:35:15]   [53/118] p0054 OK (363 chars)
[08-01 22:36:01]   [54/118] p0055 OK (370 chars)
[08-01 22:37:04]   [55/118] p0056 OK (354 chars)
[08-01 22:38:35]   [56/118] p0057 OK (323 chars)
[08-01 22:40:41]   [57/118] p0058 OK (381 chars)
[08-01 22:42:01]   [58/118] p0059 OK (324 chars)
[08-01 22:43:35]   [59/118] p0060 OK (323 chars)
[08-01 22:44:47]   [60/118] p0061 OK (360 chars)
[08-01 22:45:29]   [61/118] p0062 OK (331 chars)
[08-01 22:46:58]   [62/118] p0063 OK (328 chars)
[08-01 22:47:50]   [63/118] p0064 OK (334 chars)
[08-01 22:49:08]   [64/118] p0065 OK (317 chars)
[08-01 22:51:02]   [65/118] p0066 OK (320 chars)
[08-01 22:52:38]   [66/118] p0067 OK (527 chars)
