id_card,name,insurance_type,status,company_id,company_name,last_payment_date
510100000000000000,参保人0000,居民养老,暂停参保,COMP0015,单位107,2026-05-27
510100000000000001,参保人0001,工伤,正常参保,COMP0103,单位122,2026-01-04
510100000000000002,参保人0002,职工养老,正常参保,COMP0088,单位117,2026-04-29
510100000000000003,参保人0003,职工养老,正常参保,COMP0053,单位002,2025-08-28
510100000000000004,参保人0004,居民养老,正常参保,COMP0038,单位130,2026-01-27
510100000000000005,参保人0005,居民养老,正常参保,COMP0161,单位058,2026-07-16
510100000000000006,参保人0006,工伤,正常参保,COMP0049,单位059,2026-02-18
510100000000000007,参保人0007,居民养老,正常参保,COMP0015,单位190,2026-02-13
510100000000000008,参保人0008,失业,正常参保,COMP0108,单位055,2025-12-06
510100000000000009,参保人0009,职工医保,正常参保,COMP0051,单位135,2026-07-17
510100000000000010,参保人0010,职工医保,正常参保,COMP0018,单位132,2026-05-10
510100000000000011,参保人0011,居民养老,正常参保,COMP0009,单位090,2026-06-15
510100000000000012,参保人0012,居民医保,正常参保,COMP0092,单位111,2025-11-16
510100000000000013,参保人0013,职工养老,正常参保,COMP0081,单位164,2026-06-18
510100000000000014,参保人0014,居民养老,正常参保,COMP0134,单位054,2026-04-23
510100000000000015,参保人0015,居民养老,正常参保,COMP0191,单位146,2026-01-01
510100000000000016,参保人0016,居民养老,正常参保,COMP0190,单位014,2025-08-21
510100000000000017,参保人0017,失业,正常参保,COMP0190,单位040,2026-01-06
510100000000000018,参保人0018,工伤,正常参保,COMP0111,单位053,2025-10-31
510100000000000019,参保人0019,居民医保,正常参保,COMP0188,单位124,2026-06-27
510100000000000020,参保人0020,工伤,正常参保,COMP0045,单位065,2025-08-27
510100000000000021,参保人0021,职工医保,正常参保,COMP0129,单位136,2026-06-05
510100000000000022,参保人0022,职工养老,正常参保,COMP0136,单位163,2025-10-22
510100000000000023,参保人0023,职工养老,正常参保,COMP0041,单位028,2026-03-25
510100000000000024,参保人0024,职工医保,正常参保,COMP0012,单位162,2026-07-05
510100000000000025,参保人0025,失业,正常参保,COMP0037,单位099,2026-02-16
510100000000000026,参保人0026,失业,暂停参保,COMP0035,单位193,2025-12-23
510100000000000027,参保人0027,工伤,正常参保,COMP0131,单位001,2026-08-02
510100000000000028,参保人0028,居民医保,正常参保,COMP0103,单位027,2026-01-12
510100000000000029,参保人0029,居民医保,正常参保,COMP0124,单位179,2026-06-05
510100000000000030,参保人0030,职工医保,正常参保,COMP0096,单位132,2025-12-28
510100000000000031,参保人0031,工伤,正常参保,COMP0143,单位171,2026-07-09
510100000000000032,参保人0032,居民养老,正常参保,COMP0160,单位071,2026-02-01
510100000000000033,参保人0033,职工养老,正常参保,COMP0028,单位066,2026-02-18
510100000000000034,参保人0034,工伤,正常参保,COMP0185,单位134,2025-10-27
510100000000000035,参保人0035,居民养老,正常参保,COMP0084,单位030,2025-09-10
510100000000000036,参保人0036,居民医保,暂停参保,COMP0190,单位129,2025-10-28
510100000000000037,参保人0037,失业,正常参保,COMP0003,单位103,2026-01-21
510100000000000038,参保人0038,职工养老,正常参保,COMP0062,单位165,2025-12-25
510100000000000039,参保人0039,职工养老,正常参保,COMP0152,单位059,2026-02-28
510100000000000040,参保人0040,职工医保,正常参保,COMP0113,单位062,2026-06-16
510100000000000041,参保人0041,居民养老,正常参保,COMP0130,单位131,2026-04-16
510100000000000042,参保人0042,工伤,正常参保,COMP0081,单位187,2026-04-16
510100000000000043,参保人0043,居民医保,正常参保,COMP0054,单位087,2025-12-26
510100000000000044,参保人0044,职工医保,正常参保,COMP0147,单位126,2026-03-30
510100000000000045,参保人0045,工伤,正常参保,COMP0160,单位198,2025-12-03
510100000000000046,参保人0046,居民养老,正常参保,COMP0184,单位123,2025-11-25
510100000000000047,参保人0047,失业,正常参保,COMP0069,单位116,2026-05-01
510100000000000048,参保人0048,失业,正常参保,COMP0139,单位144,2026-05-02
510100000000000049,参保人0049,职工医保,正常参保,COMP0070,单位093,2025-11-21
510100000000000050,参保人0050,居民养老,正常参保,COMP0164,单位147,2025-08-26
510100000000000051,参保人0051,职工养老,正常参保,COMP0148,单位096,2026-01-20
510100000000000052,参保人0052,居民养老,正常参保,COMP0168,单位128,2026-06-29
510100000000000053,参保人0053,居民医保,正常参保,COMP0011,单位185,2026-03-09
510100000000000054,参保人0054,失业,正常参保,COMP0099,单位007,2025-11-28
510100000000000055,参保人0055,居民医保,正常参保,COMP0113,单位002,2025-10-07
510100000000000056,参保人0056,失业,正常参保,COMP0197,单位037,2026-02-28
510100000000000057,参保人0057,职工养老,正常参保,COMP0099,单位147,2025-10-07
