id_card,company_id,company_name,payment_base,payment_amount,period,payment_type
510100000000000945,COMP0101,单位038,3493,978.0400000000001,2024-07,正常缴纳
510100000000002207,COMP0169,单位143,12000,3360.0000000000005,2024-06,正常缴纳
510100000000002257,COMP0150,单位031,3493,978.0400000000001,2025-09,正常缴纳
510100000000002912,COMP0171,单位001,8000,2240.0,2025-09,正常缴纳
510100000000002894,COMP0114,单位009,20000,5600.000000000001,2024-12,正常缴纳
510100000000002042,COMP0170,单位150,20000,5600.000000000001,2024-12,正常缴纳
510100000000000371,COMP0167,单位084,20000,5600.000000000001,2025-10,正常缴纳
510100000000001996,COMP0143,单位188,3493,978.0400000000001,2025-06,一次性补缴
510100000000001554,COMP0075,单位130,12000,3360.0000000000005,2024-04,正常缴纳
510100000000001552,COMP0098,单位116,8000,2240.0,2025-10,一次性补缴
510100000000004418,COMP0051,单位060,30000,8400.0,2024-03,一次性补缴
510100000000000027,COMP0108,单位139,20000,5600.000000000001,2025-05,一次性补缴
510100000000001294,COMP0083,单位048,12000,3360.0000000000005,2024-12,正常缴纳
510100000000003153,COMP0088,单位134,30000,8400.0,2025-03,一次性补缴
510100000000004528,COMP0118,单位179,8000,2240.0,2024-10,正常缴纳
510100000000001131,COMP0051,单位038,5000,1400.0000000000002,2024-04,正常缴纳
510100000000001545,COMP0026,单位048,12000,3360.0000000000005,2024-02,正常缴纳
510100000000004979,COMP0123,单位023,12000,3360.0000000000005,2024-08,正常缴纳
510100000000001928,COMP0095,单位025,5000,1400.0000000000002,2024-10,正常缴纳
510100000000000322,COMP0085,单位057,12000,3360.0000000000005,2025-10,正常缴纳
510100000000000222,COMP0075,单位102,5000,1400.0000000000002,2025-05,正常缴纳
510100000000002220,COMP0004,单位084,20000,5600.000000000001,2024-04,正常缴纳
510100000000004928,COMP0146,单位167,5000,1400.0000000000002,2025-01,正常缴纳
510100000000001809,COMP0175,单位159,12000,3360.0000000000005,2025-03,正常缴纳
510100000000004558,COMP0175,单位198,30000,8400.0,2025-08,正常缴纳
510100000000002297,COMP0013,单位055,3493,978.0400000000001,2025-05,正常缴纳
510100000000000070,COMP0188,单位012,8000,2240.0,2024-06,一次性补缴
510100000000001037,COMP0115,单位112,30000,8400.0,2024-10,正常缴纳
510100000000000484,COMP0169,单位120,12000,3360.0000000000005,2024-06,正常缴纳
510100000000003371,COMP0183,单位071,3493,978.0400000000001,2025-03,正常缴纳
510100000000001788,COMP0167,单位042,12000,3360.0000000000005,2024-08,正常缴纳
510100000000000797,COMP0020,单位126,12000,3360.0000000000005,2025-10,正常缴纳
510100000000000305,COMP0041,单位094,20000,5600.000000000001,2025-07,正常缴纳
